"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often [[affecting]] journey . ","it 's a [[frustrating]] and often [[winding]] journey . ",1.3947486877441406e-05,0.8865416049957275,1,0,1,20,"Successful"
"unflinchingly bleak and desperate ","unflinchingly bleak and desperate ",0.8100788593292236,0.8100788593292236,1,1,0,1,"Skipped"
"allows us to hope that nolan is poised to embark a major career as a commercial yet [[inventive]] filmmaker . ","allows us to hope that nolan is poised to embark a major career as a commercial yet [[visionary]] filmmaker . ",0.023400843143463135,0.9153662919998169,1,0,1,30,"Successful"
"the acting , costumes , music , cinematography and sound are all [[astounding]] [[given]] the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all [[considered]] [[towards]] the production 's austere locales . ",0.001058042049407959,0.5521365404129028,1,0,1,34,"Successful"
"it 's [[slow]] -- very , very slow . ","it 's [[gentle]] -- very , very slow . ",0.00895535945892334,0.9284430146217346,0,1,0,19,"Successful"
"although laced with humor and a few [[fanciful]] touches , the film is a refreshingly serious look at young women . ","although laced with humor and a few [[superficial]] touches , the film is a refreshingly serious look at young women . ",0.00034248828887939453,0.3473849892616272,1,1,1,38,"Failed"
"a sometimes [[tedious]] film . ","a sometimes [[hilarious]] film . ",0.0005922317504882812,0.9999071359634399,0,1,0,49,"Successful"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.6760679483413696,0.6760679483413696,1,1,0,1,"Skipped"
"you do n't have to know about music to [[appreciate]] the film 's easygoing blend of comedy and romance . ","you do n't have to know about music to [[handle]] the film 's easygoing blend of comedy and romance . ",0.02372908592224121,0.9902456402778625,1,0,1,51,"Successful"
"in exactly 89 minutes , most of which passed as [[slowly]] as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 minutes , most of which passed as [[steadily]] as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0.3856481909751892,0.7878395915031433,0,1,0,43,"Successful"
