"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and [[often]] [[affecting]] journey . ","it 's a [[charing]] and [[ofoen]] [[affOcting]] journey . ",1.3947486877441406e-05,0.0004943609237670898,1,1,1,21,"Failed"
"unflinchingly bleak and desperate ","unflinchingly bleak and desperate ",0.8100788593292236,0.8100788593292236,1,1,0,1,"Skipped"
"allows us to hope that nolan is poised to embark a major career as a commercial yet [[inventive]] filmmaker . ","allows us to hope that nolan is poised to embark a major career as a commercial yet [[invegntive]] filmmaker . ",0.023400843143463135,0.929226279258728,1,0,1,17,"Successful"
"the [[acting]] , costumes , [[music]] , [[cinematography]] and sound are all [[astounding]] [[given]] the production 's austere [[locales]] . ","the [[actLng]] , costumes , [[mGusic]] , [[cienmatography]] and sound are all [[astouding]] [[gien]] the production 's austere [[locale]] . ",0.001058042049407959,0.1959291696548462,1,1,1,51,"Failed"
"it 's [[slow]] -- very , very [[slow]] . ","it 's [[Alow]] -- very , very [[sLlow]] . ",0.00895535945892334,0.9765608310699463,0,1,0,11,"Successful"
"[[although]] [[laced]] with [[humor]] and a few [[fanciful]] [[touches]] , the film is a [[refreshingly]] serious [[look]] at young [[women]] . ","[[aathough]] [[lace]] with [[hZmor]] and a few [[fancZiful]] [[touche]] , the film is a [[refreshinly]] serious [[wook]] at young [[womenn]] . ",0.00034248828887939453,0.07960134744644165,1,1,1,55,"Failed"
"a sometimes [[tedious]] film . ","a sometimes [[ctedious]] film . ",0.0005922317504882812,0.7008178234100342,0,1,0,8,"Successful"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.6760679483413696,0.6760679483413696,1,1,0,1,"Skipped"
"you do n't have to [[know]] about music to [[appreciate]] the [[film]] 's [[easygoing]] [[blend]] of [[comedy]] and [[romance]] . ","you do n't have to [[fknow]] about music to [[aDppreciate]] the [[fim]] 's [[eaKsygoing]] [[blehnd]] of [[comed]] and [[ormance]] . ",0.02372908592224121,0.39340370893478394,1,1,1,45,"Failed"
"in exactly 89 minutes , most of which passed as [[slowly]] as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 minutes , most of which passed as [[sloly]] as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0.3856481909751892,0.7408300638198853,0,1,0,20,"Successful"
"the [[mesmerizing]] performances of the leads [[keep]] the film [[grounded]] and [[keep]] the audience riveted . ","the [[memerizing]] performances of the leads [[weep]] the film [[groDunded]] and [[eep]] the audience riveted . ",0.0002314448356628418,0.4183681607246399,1,1,1,46,"Failed"
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.9852325320243835,0.9852325320243835,1,1,0,1,"Skipped"
"... the film [[suffers]] from a lack of humor ( something needed to balance out the violence ) ... ","... the film [[sMffers]] from a lack of humor ( something needed to balance out the violence ) ... ",0.034030795097351074,0.7927887439727783,0,1,0,12,"Successful"
"we root for ( clara and paul ) , even like them , though perhaps it 's an [[emotion]] closer to pity . ","we root for ( clara and paul ) , even like them , though perhaps it 's an [[emoItion]] closer to pity . ",0.20344316959381104,0.8055453300476074,1,0,1,15,"Successful"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ",0.9616243243217468,0.9616243243217468,1,1,0,1,"Skipped"
"a [[gorgeous]] , [[high-spirited]] musical from [[india]] that [[exquisitely]] blends music , [[dance]] , [[song]] , and [[high]] [[drama]] . ","a [[gorgeUus]] , [[high-spririted]] musical from [[nidia]] that [[exquiistely]] blends music , [[ance]] , [[snog]] , and [[hgh]] [[dram]] . ",0.0005177855491638184,0.049980759620666504,1,1,1,56,"Failed"
"the [[emotions]] are [[raw]] and will [[strike]] a nerve with [[anyone]] who 's [[ever]] had family [[trauma]] . ","the [[emntions]] are [[rw]] and will [[stirke]] a nerve with [[anione]] who 's [[evTr]] had family [[jrauma]] . ",0.0006048679351806641,0.08198750019073486,1,1,1,41,"Failed"
"[[audrey]] tatou has a [[knack]] for [[picking]] [[roles]] that magnify her [[outrageous]] [[charm]] , and in this [[literate]] [[french]] [[comedy]] , she 's as morning-glory [[exuberant]] as she was in [[amélie]] . ","[[audery]] tatou has a [[knak]] for [[piBking]] [[Yroles]] that magnify her [[ourageous]] [[Iharm]] , and in this [[ilterate]] [[fench]] [[Bcomedy]] , she 's as morning-glory [[exuberVnt]] as she was in [[ameélie]] . ",0.000409543514251709,0.09998351335525513,1,1,1,70,"Failed"
