"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a charming and often affecting journey . ","it 's a charming and often affecting journey . ",0.00015425682067871094,0.00015425682067871094,1,1,1,1,"Failed"
"unflinchingly bleak and desperate ","unflinchingly bleak and desperate ",0.03254598379135132,0.03254598379135132,0,0,0,1,"Failed"
"allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ","allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ",0.14997780323028564,0.14997780323028564,1,1,1,1,"Failed"
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",0.10353195667266846,0.10353195667266846,1,1,1,1,"Failed"
"it 's slow -- very , very slow . ","it 's slow -- very , very slow . ",0.0029249191284179688,0.0029249191284179688,0,0,0,1,"Failed"
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ","although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",0.07632780075073242,0.07632780075073242,1,1,1,1,"Failed"
"a sometimes tedious film . ","a sometimes tedious film . ",0.0013913512229919434,0.0013913512229919434,0,0,0,1,"Failed"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.771350085735321,0.771350085735321,1,1,0,1,"Skipped"
"you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ","you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ",0.16081100702285767,0.16081100702285767,1,1,1,1,"Failed"
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0.10787534713745117,0.10787534713745117,0,0,0,1,"Failed"
"the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ","the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ",0.05635666847229004,0.05635666847229004,1,1,1,1,"Failed"
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.6973544955253601,0.6973544955253601,1,1,0,1,"Skipped"
"... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ","... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ",0.03352385759353638,0.03352385759353638,0,0,0,1,"Failed"
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.46933192014694214,0.46933192014694214,1,1,1,1,"Failed"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ",0.481262743473053,0.481262743473053,0,0,0,1,"Failed"
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ",0.0004318356513977051,0.0004318356513977051,1,1,1,1,"Failed"
"the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ","the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ",0.23363757133483887,0.23363757133483887,1,1,1,1,"Failed"
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",0.0026913881301879883,0.0026913881301879883,1,1,1,1,"Failed"
"... the movie is just a plain old monster . ","... the movie is just a plain old monster . ",0.01710808277130127,0.01710808277130127,0,0,0,1,"Failed"
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its best moments , resembles a bad high school production of grease , without benefit of song . ",0.8935447335243225,0.8935447335243225,1,1,0,1,"Skipped"
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0.8241676092147827,0.8241676092147827,1,1,0,1,"Skipped"
"the iditarod lasts for days - this just felt like it did . ","the iditarod lasts for days - this just felt like it did . ",0.25896042585372925,0.25896042585372925,0,0,0,1,"Failed"
