"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often affecting journey . ","it 's a [[ctarming]] and often affecting journey . ",0.00015425682067871094,0.016339898109436035,1,1,1,164,"Failed"
"unflinchingly [[bleak]] and desperate ","unflinchingly [[belak]] and desperate ",0.03254598379135132,0.223005473613739,0,0,0,164,"Failed"
"allows us to hope that nolan is poised to embark a major career as a commercial yet [[inventive]] filmmaker . ","allows us to hope that nolan is poised to embark a major career as a commercial yet [[iSnventive]] filmmaker . ",0.14997780323028564,0.606084942817688,1,0,1,327,"Successful"
"the acting , costumes , music , [[cinematography]] and sound are all astounding given the production 's austere locales . ","the acting , costumes , music , [[cibematography]] and sound are all astounding given the production 's austere locales . ",0.10353195667266846,0.5338805913925171,1,0,1,439,"Successful"
"it 's slow -- very , very [[slow]] . ","it 's slow -- very , very [[siow]] . ",0.0029249191284179688,0.028727471828460693,0,0,0,27,"Failed"
"although laced with humor and a few [[fanciful]] touches , the film is a refreshingly serious look at young women . ","although laced with humor and a few [[fOanciful]] touches , the film is a refreshingly serious look at young women . ",0.07632780075073242,0.23414045572280884,1,1,1,367,"Failed"
"a sometimes [[tedious]] film . ","a sometimes [[tddious]] film . ",0.0013913512229919434,0.15605789422988892,0,0,0,105,"Failed"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.771350085735321,0.771350085735321,1,1,0,1,"Skipped"
"you do n't have to know about music to appreciate the film 's easygoing [[blend]] of comedy and romance . ","you do n't have to know about music to appreciate the film 's easygoing [[belnd]] of comedy and romance . ",0.16081100702285767,0.37188535928726196,1,1,1,249,"Failed"
"in exactly 89 minutes , most of which passed as [[slowly]] as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 minutes , most of which passed as [[siowly]] as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0.10787534713745117,0.3186150789260864,0,0,0,377,"Failed"
